regionId,province,city,date,caseId,infection_case,confirmed,accumulated,briefingdate,classname,note
10,서울,은평구,2020-02-23,1,은평성모병원,2,2,2020-02-23,의료기관,
10,서울,은평구,2020-02-23,1,은평성모병원,9,11,2020-02-27,의료기관,
10,서울,은평구,2020-02-23,1,은평성모병원,3,14,2020-03-03,의료기관,
10,서울,종로구,2020-03-03,2,명륜교회,3,3,2020-03-03,종교시설 및 단체,
10,서울,종로구,2020-03-03,3,종로노인종합복지관,6,6,2020-03-03,복지시설 및 단체,
10,서울,성동구,2020-03-04,4,성동구 아파트,12,12,2020-03-04,거주지,
10,서울,성동구,2020-03-04,4,성동구 아파트,1,13,2020-03-05,거주지,
10,서울,구로구,2020-03-10,5,콜센터,11,11,2020-03-10,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,66,77,2020-03-11,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,3,80,2020-03-12,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,29,109,2020-03-13,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,6,115,2020-03-14,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,9,124,2020-03-15,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,5,129,2020-03-16,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,5,134,2020-03-17,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,5,139,2020-03-19,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,7,146,2020-03-20,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,2,148,2020-03-21,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,4,152,2020-03-22,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,4,156,2020-03-23,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,2,158,2020-03-24,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,2,160,2020-03-26,콜센터,
10,서울,구로구,2020-03-10,5,콜센터,3,163,2020-03-27,콜센터,
10,서울,동대문구,2020-03-10,6,동안교회/PC방,4,4,2020-03-10,종교시설 및 단체,
10,서울,동대문구,2020-03-10,6,동안교회/PC방,20,24,2020-03-15,종교시설 및 단체,
10,서울,중구,2020-03-10,7,패션회사,7,7,2020-03-10,직장,
10,서울,구로구,2020-03-25,8,만민중앙교회,7,7,2020-03-28,종교시설 및 단체,
10,서울,구로구,2020-03-25,8,만민중앙교회,6,13,2020-03-29,종교시설 및 단체,
10,서울,구로구,2020-03-25,8,만민중앙교회,10,23,2020-03-30,종교시설 및 단체,
10,서울,구로구,2020-03-25,8,만민중앙교회,10,33,2020-03-31,종교시설 및 단체,
10,서울,구로구,2020-03-25,8,만민중앙성결교회,8,41,2020-04-01,종교시설 및 단체,
10,서울,송파구,2020-04-01,9,서울아산병원,1,1,2020-04-01,의료기관,입원환자 1명 확진. 해당 환자는 3/25~26 의정부성모병원 방문. 이에 따른 역학조사중
10,서울,송파구,2020-04-01,9,서울아산병원,1,2,2020-04-05,의료기관,
10,서울,송파구,2020-04-01,9,서울아산병원,1,3,2020-04-18,의료기관,누적확진자 유추하여 기록함
10,서울,서초구,2020-04-06,10,서초구 소재 주점(리퀴드소울),4,4,2020-04-09,유흥시설,
10,서울,서초구,2020-04-06,10,서초구 소재 주점(리퀴드소울),1,5,2020-04-10,유흥시설,
10,서울,용산구,2020-05-06,11,이태원 클럽,13,15,2020-05-08,유흥시설,
10,서울,용산구,2020-05-06,11,이태원 클럽,12,27,2020-05-09,유흥시설,
10,서울,용산구,2020-05-06,11,이태원 클럽,35,54,2020-05-10,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,43,86,2020-05-11,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,30,102,2020-05-12,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,26,119,2020-05-13,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,22,133,2020-05-14,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,22,153,2020-05-15,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,6,162,2020-05-16,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,7,168,2020-05-17,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,4,170,2020-05-18,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,19,187,2020-05-19,유흥시설,(전일+추가)값과 누적값 불일치
10,서울,용산구,2020-05-06,11,이태원 클럽,9,196,2020-05-20,유흥시설,2020-05-19 데이터로 추가확진 수 유추
10,서울,용산구,2020-05-06,11,이태원 클럽,10,206,2020-05-21,유흥시설,2020-05-20 데이터로 추가확진 수 유추
10,서울,용산구,2020-05-06,11,이태원 클럽,9,215,2020-05-22,유흥시설,2020-05-21 데이터로 추가확진 수 유추
10,서울,용산구,2020-05-06,11,이태원 클럽,4,219,2020-05-23,유흥시설,2020-05-22 데이터로 추가확진 수 유추
10,서울,용산구,2020-05-06,11,이태원 클럽,6,225,2020-05-24,유흥시설,2020-05-23 데이터로 추가확진 수 유추
10,서울,용산구,2020-05-06,11,이태원 클럽,12,237,2020-05-25,유흥시설,2020-05-24 데이터로 추가확진 수 유추
